,text,Sentiment
0,'@binsaab7_ بعد كورونا 😡',-1
1,'🔴 الصحة السعودية تحسم الجدل بشأن استخدام جهاز “تجفيف اليدين” للقضاء على فيروس كورونا https://t.co/WzrA96mwmF',0
2,'@AlsaeedFajer انا ضد الحظر الكلي ،، لانه لن يمنع انتشار الفيروس او يقضي عليه   هذا كلام من استشارية في التخصص  للعل… https://t.co/mwljFUKNmy',-1
3,'رسالة من ارسل لي الفيديو الذي يقطع القلب  (( اخي ابوصالح هذا الفيديو لـ عمي توفي اليوم بسبب كورونا والوضع في عدن مت… https://t.co/tDgku4eDQb',-1
4,'Coronavirus : un fonds d’urgence pour les petites entreprises rurales en difficulté en région Centre-Val de Loire https://t.co/kzX3g0DTgI',0
5,'Encore un grand moment que l'on doit à l'administration hum #EmmanuelMacron #EdouardPhilippe #OlivierVeran ne dites… https://t.co/p0GxyKOYeE',0
6,'1209 إصابات جديدة بفيروس #كورونا في ألمانيا و147 وفاة https://t.co/D2DS7Bc5u2',0
7,'بكين وواشنطن تتعهدان تنفيذ اتفاقهما التجاري رغم خلافهما بشأن كورونا https://t.co/U7AZnB1D0M',0
8,'البرازيل تسجل 9888 إصابة جديدة مؤكدة بفيروس كورونا https://t.co/Xpk5AVCrQE',0
9,'إغلاق فرع شوقية مكة للنوري للتموين الغذائي بسبب فيروس كورونا المستجد https://t.co/VqLBssH24e',0
10,'@bax_r2 كورونا',0
11,'انت اكبر سم من كروناياسارق',-1
12,'De temer.',0
13,'@Al_NahdahFC @SaudiMOH @qetafwater .  ..  أ - 9 ملايين فحص  #كورونا   #المسؤولية_المجتمعيه_بنادي_النهضة  @SaudiMOH… https://t.co/iR2B3eGn3F',0
14,'وين رتاويتكم والفله شفيكم علي',0
15,'الجزائر تستعين بالكمامات المغربية لمواجهة أزمة تفشي ڤيروس كورونا https://t.co/n7zAd5auDF',0
16,'رغم الانحسار التدريجي للفيروس عالميا.. مخاوف من موجة ثانية وثالثة #كورونا مع تخفيف إجراءات العزل وتغير الطقس… https://t.co/aQBingV0tu',0
17,'عدّاد كورونا إلى 788: الوافدون يرفعون منسوب الحذر',0
18,'@HaMeDEs21995038 .... كورونا ..... الحظر 🙂🙂🙂',-1
19,"'الاتفاق الصيني الأميركي ينجو من معركة ""أصل #كورونا"" https://t.co/nzUcKGoVt4'",0
20,'اوروبا كفار كيف يكون لهم دور  وبعدين الموساد هو من يحكم اوروبا واحنا بنلعن اسرائيل ليل ونهار ويكوم لهم دور عندنا  S… https://t.co/ccFghsnRxv',-1
21,'@EtQjR3rRzGaFk19 كورونا 😂😂',0
22,'البشارة بإذن #الله و محد له منّة على أحد أو راح (يتكسّب) على هالشيّ  إلى #حكومة سموّ رئيس مجلس الوزراء الشيخ… https://t.co/1IWZVYVDWM',1
23,"'الاتفاق الصيني الأميركي ينجو من معركة ""أصل #كورونا"" https://t.co/yCqYuDFZvb'",0
24,'كانت مستهزأه فيني في البداية ، فاتن بعد كورونا غير https://t.co/Aue6ojTeLD',-1
25,'كفكرة تقريبية، لو تُركت كورونا بدون احترازات فيمكن أن يصل العدد إلى مليون حالة خلال ٤٠ يوم.  هذا يستدعي بالمعدل:  ع… https://t.co/H1oODKM53J',0
26,'🎥 الهدف من توثيق هذه الحالة للمريض المُشتبه إصابته بفيروس #كورونا هو إقناع المنكرين لخطورة الوضع الصحي في #عدن وك… https://t.co/XcRyU6TvlI',0
27,'ابي هالنوعيه ما تستحى لا وانا مصدقه حسبالي من صجه طلع يدور سوالف يا اخى الناس كورونا وازمه وصيام اعنبو داركم لا حيا… https://t.co/x1tI56Jp4Z',-1
28,'تنفيذاً لتوجيهات #وزارة_الداخلية رجال الأمن يبدأون في تطبيق لائحة الحد من التجمعات التي تسهم في تفشي ونقل فيروس… https://t.co/HwyrInd6AM',0
29,'@shamsofficial قلنالكم  كورونا طاقة ذكورة   وقد شرحتها سابقا 🌷',0
30,'الحمدلله الشوارع مليانه بالناس نتمنى من فيروس كورونا ان يلتزم بلحجر الصحي 😂😂',-1
31,'#فيتو | إصابات #كورونا للصحفيين.. تعافي ٥ حالات بين أسر الأعضاء.. تأكد إصابة نقابي ومتدرب.. و٨٠٠ مستفيد من المطهرات… https://t.co/XDST4XkffQ',0
32,'توصية بتأسيس صناديق وقفية لمعالجة آثار كورونا الاقتصادية على الأوقاف   https://t.co/FfwviEy1Pa  #فيروس_كورونا… https://t.co/RQ6ssa9LSV',0
33,'#فيروس_كورونا قام بـ200 طفرة في أجسام البشر.. ويساعد تتبع هذا التحوّر في الوصول إلى لقاح أكثر فاعلية  #صحة #كورونا… https://t.co/KCw6ddG7iW',0
34,'منها مثبطات المناعة.. 5 أدوية يحظر تناولها في ظل انتشار فيروس كورونا  التفاصيل عبر الرابط 👈 https://t.co/yXnxEVmYO1 https://t.co/QkRl3fYAFz',0
35,'#بومبيو: #الولايات_المتحدة غير متأكدة من أن فيروس #كورونا الجديد نشأ من مختبر ووهان https://t.co/JR2ZBB4nvv',0
36,'الفرحه فى القلب.. الزواج فى #ألمانيا بسينما السيارات بسبب #كورونا https://t.co/b067Wqa7KN',1
37,'شبح #المجاعة يطل برأسه على العالم!   الملايين مهددون بسبب #كورونا   صدمة #الوباء تقفز بأسعار الأرز.. ووقف صادرات… https://t.co/3U0NgJPScJ',0
38,"'Ce vendredi, achetez local avec les marchés : Argonne, Dunois, Martroi, Ingré et les Halles Châtelet ! Retrouvez la… https://t.co/jfdtHjuDAl'",0
39,'شاهد.. مظاهرات للفنانين في اليونان طلبا للدعم الحكومي #اليونان #مظاهرات #اقتصاد #كورونا  https://t.co/HedwYHLk7n',0
40,'(مفتوح للجميع) - أفضل الممارسات لإدارة فيروس كورونا والحفاظ على استمرارية التعليم والعمل والحياة… https://t.co/7yvLZLKOwO',1
41,'حلقة عظيمة، انصحكم تسمعون البودكاست. جائزة نوبل إذا اعطيت لشخص في مجال معين تضفي قداسة فكرية لكل مايقوله وتعطي أفكا… https://t.co/kR1hIBgvC4',1
42,"'#المملكة تعلن الحرب على التجمعات لمواجهة ""#كورونا"" https://t.co/0Q6bQSPvkV #فيروس_كورونا https://t.co/OlzwG4B6ha'",0
43,'منذ فجر التاريخ إلى عصر #كورونا .. أخطر الأوبئة الي كادت تقضي على البشرية   #مجلة_نقطة  https://t.co/WP5BYoSbFO',0
44,'اذا جاك #كورونا وانت عادك بلا زواج معاد باتتزوج لأنه في تقارير تقول انه يسبب العقم هيا اجلس في البيت احسن لك اما ال… https://t.co/iGzTLayMZo',0
